run_id,config,sg_rho,sg_dw,adapter,n,delta_f90_mean,delta_f90_median,wall_time_mean_s,wall_time_median_s,energy_final_mean,compute_cost_mean_s,redemption_gain_mean
"sg_sweep_baseline_rho0,5_dw0,05",smallgain,0.5,0.05,smallgain,1,9.0,9.0,0.029046099982224405,0.029046099982224405,-0.007356723863890262,0.029046099982224405,5.848742837470599
"sg_sweep_baseline_rho0,5_dw0,1",smallgain,0.5,0.1,smallgain,1,10.0,10.0,0.01558050001040101,0.01558050001040101,-0.020079493664337807,0.01558050001040101,11.720159103111962
"sg_sweep_baseline_rho0,5_dw0,2",smallgain,0.5,0.2,smallgain,1,7.0,7.0,0.016938199987635016,0.016938199987635016,-0.018973480194820775,0.016938199987635016,10.715419920116446
"sg_sweep_baseline_rho0,7_dw0,05",smallgain,0.7,0.05,smallgain,1,9.0,9.0,0.01895160006824881,0.01895160006824881,-0.007356723863890262,0.01895160006824881,8.96405414929103
"sg_sweep_baseline_rho0,7_dw0,1",smallgain,0.7,0.1,smallgain,1,10.0,10.0,0.016374400001950562,0.016374400001950562,-0.020079493664337807,0.016374400001950562,11.151916345404102
"sg_sweep_baseline_rho0,7_dw0,2",smallgain,0.7,0.2,smallgain,1,7.0,7.0,0.01838090003002435,0.01838090003002435,-0.018973480194820775,0.01838090003002435,9.874376404961057
"sg_sweep_baseline_rho0,9_dw0,05",smallgain,0.9,0.05,smallgain,1,9.0,9.0,0.01720170001499355,0.01720170001499355,-0.007356723863890262,0.01720170001499355,9.875952323282833
"sg_sweep_baseline_rho0,9_dw0,1",smallgain,0.9,0.1,smallgain,1,10.0,10.0,0.015467099961824715,0.015467099961824715,-0.020079493664337807,0.015467099961824715,11.806087726764435
"sg_sweep_baseline_rho0,9_dw0,2",smallgain,0.9,0.2,smallgain,1,7.0,7.0,0.01939559995662421,0.01939559995662421,-0.018973480194820775,0.01939559995662421,9.357788671880318
